HOMETEAM,AWAYTEAM,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV
Norwich,Chelsea,2,3,A,2,2,D,1,8,1,1,152350000,844250000,6350000,32470000,27.6,26.3,1.53,2.5,4.33,3.75,1.8,M Atkinson
Brighton,Southampton,0,2,A,0,0,D,8,5,1,3,214750000,227000000,8260000,9870000,27.8,25.9,2.1,1.72,2.4,3.3,3,K Friend
Man United,Crystal Palace,1,2,A,0,1,A,8,1,2,4,744250000,232800000,29770000,9310000,25.8,28.8,1.72,2.1,1.33,5.25,9,P Tierney
Sheffield United,Leicester,1,2,A,0,1,A,7,4,1,0,119200000,505250000,4260000,19430000,28.3,26.7,2.3,1.61,3.3,3.3,2.25,A Madley
Watford,West Ham,1,3,A,1,1,D,8,7,1,1,234000000,338750000,7550000,14110000,27.6,28.7,1.72,2.1,2.05,3.5,3.5,C Kavanagh
Liverpool,Arsenal,3,1,H,1,0,H,6,4,1,1,1190000000,682750000,46660000,27310000,27.9,25.1,1.44,2.75,1.5,4.6,6,A Taylor
Bournemouth,Man City,1,3,A,1,2,A,4,5,1,3,343750000,1300000000,11460000,52190000,26,27.4,1.36,3.2,15,7.5,1.16,A Marriner
Tottenham,Newcastle,0,1,A,0,1,A,6,6,2,2,977000000,293830000,36190000,9180000,26.4,27.3,1.53,2.5,1.2,6.5,14,M Dean
Wolves,Burnley,1,1,D,0,1,A,4,3,0,2,330800000,192750000,12720000,8030000,25.4,29.1,2.3,1.61,1.85,3.4,4.5,C Pawson
Southampton,Man United,1,1,D,0,1,A,2,3,1,2,227000000,744250000,9870000,29770000,25.9,25.8,1.9,1.9,3.8,3.3,2.05,M Dean
Chelsea,Sheffield United,2,2,D,2,0,H,3,4,0,1,844250000,119200000,32470000,4260000,26.3,28.3,1.72,2.1,1.36,4.75,9,S Attwell
Crystal Palace,Aston Villa,1,0,H,0,0,D,13,2,2,4,232800000,261900000,9310000,9700000,28.8,27,1.9,1.9,2.15,3.3,3.5,K Friend
Leicester,Bournemouth,3,1,H,2,1,H,4,5,1,3,505250000,343750000,19430000,11460000,26.7,26,1.66,2.2,1.7,4,4.75,P Bankes
Man City,Brighton,4,0,H,2,0,H,8,1,1,1,1300000000,214750000,52190000,8260000,27.4,27.8,1.3,3.5,1.08,10,26,J Moss
Newcastle,Watford,1,1,D,1,1,D,6,5,2,3,293830000,234000000,9180000,7550000,27.3,27.6,2,1.8,2.5,3.25,2.87,G Scott
West Ham,Norwich,2,0,H,1,0,H,8,2,2,1,338750000,152350000,14110000,6350000,28.7,27.6,1.44,2.75,1.85,3.9,3.9,P Tierney
Burnley,Liverpool,0,3,A,0,2,A,6,4,0,0,192750000,1190000000,8030000,46660000,29.1,27.9,1.61,2.3,9.5,5.5,1.3,C Kavanagh
Everton,Wolves,3,2,H,2,1,H,7,7,1,4,480700000,330800000,19230000,12720000,27.3,25.4,2.2,1.66,2.2,3.25,3.5,A Taylor
Arsenal,Tottenham,2,2,D,1,2,A,11,6,3,5,682750000,977000000,27310000,36190000,25.1,26.4,1.57,2.37,2.37,3.6,2.8,M Atkinson
Liverpool,Newcastle,3,1,H,2,1,H,10,1,0,0,1190000000,293830000,46660000,9180000,27.9,27.3,1.4,3,1.14,8.5,17,A Marriner
Brighton,Burnley,1,1,D,0,0,D,3,6,0,2,214750000,192750000,8260000,8030000,27.8,29.1,2.1,1.72,2.15,3.3,3.5,M Oliver
Man United,Leicester,1,0,H,1,0,H,3,9,1,2,744250000,505250000,29770000,19430000,25.8,26.7,1.9,1.9,1.95,3.5,4,M Atkinson
Sheffield United,Southampton,0,1,A,0,0,D,12,6,1,1,119200000,227000000,4260000,9870000,28.3,25.9,2.1,1.72,2.45,3.2,3,L Mason
Tottenham,Crystal Palace,4,0,H,4,0,H,4,3,4,2,977000000,232800000,36190000,9310000,26.4,28.8,1.61,2.3,1.36,5.25,8,C Pawson
Wolves,Chelsea,2,5,A,0,3,A,7,5,1,2,330800000,844250000,12720000,32470000,25.4,26.3,1.9,1.9,2.9,3.3,2.5,G Scott
Norwich,Man City,3,2,H,2,1,H,3,16,3,1,152350000,1300000000,6350000,52190000,27.6,27.4,1.22,4.33,15,9,1.14,K Friend
Bournemouth,Everton,3,1,H,1,1,D,7,7,0,4,343750000,480700000,11460000,19230000,26,27.3,1.72,2.1,2.9,3.5,2.4,P Tierney
