,HOMETEAM,AWAYTEAM,FTHG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV,HOMETEAM_n,AWAYTEAM_n,HTR_n
142,Chelsea,Aston Villa,2,H,1,1,D,9,5,2,1,844250000,261900000,32470000,9700000,26.3,27.0,1.4,3.0,1.28,5.75,10.0,C Kavanagh,5,1,1
143,Leicester,Watford,2,H,0,0,D,7,2,3,2,505250000,234000000,19430000,7550000,26.7,27.6,1.61,2.3,1.33,5.5,8.0,C Pawson,8,17,1
144,Man United,Tottenham,2,H,1,1,D,4,3,0,1,744250000,977000000,29770000,36190000,25.8,26.4,1.8,2.0,2.75,3.4,2.55,P Tierney,11,16,1
145,Southampton,Norwich,2,H,2,0,H,6,1,1,1,227000000,152350000,9870000,6350000,25.9,27.6,1.57,2.37,1.72,4.0,4.2,K Friend,15,13,2
146,Wolves,West Ham,2,H,1,0,H,5,4,1,2,330800000,338750000,12720000,14110000,25.4,28.7,1.9,1.9,1.75,3.7,4.75,A Marriner,19,18,2
147,Liverpool,Everton,5,H,4,2,H,5,6,1,2,1190000000,480700000,46660000,19230000,27.9,27.3,1.57,2.37,1.36,5.0,8.5,M Dean,9,7,2
148,Sheffield United,Newcastle,0,A,0,1,A,8,1,2,0,119200000,293830000,4260000,9180000,28.3,27.3,2.3,1.61,1.83,3.4,4.6,S Attwell,14,12,0
149,Arsenal,Brighton,1,A,0,1,A,9,9,3,1,682750000,214750000,27310000,8260000,25.1,27.8,1.53,2.5,1.57,4.33,5.5,G Scott,0,3,0
150,Everton,Chelsea,3,H,1,0,H,1,5,3,0,480700000,844250000,19230000,32470000,27.3,26.3,1.72,2.1,3.5,3.75,2.0,C Pawson,7,5,2
151,Bournemouth,Liverpool,0,A,0,2,A,1,3,0,1,343750000,1190000000,11460000,46660000,26.0,27.9,1.5,2.62,7.0,5.25,1.4,C Kavanagh,2,9,0
152,Tottenham,Burnley,5,H,3,0,H,1,1,1,1,977000000,192750000,36190000,8030000,26.4,29.1,1.57,2.37,1.4,4.75,8.0,K Friend,16,4,2
153,Watford,Crystal Palace,0,D,0,0,D,6,2,4,2,234000000,232800000,7550000,9310000,27.6,28.8,2.0,1.8,2.37,3.3,3.1,M Atkinson,17,6,1
154,Man City,Man United,1,A,0,2,A,16,3,3,2,1300000000,744250000,52190000,29770000,27.4,25.8,1.5,2.62,1.3,5.5,10.0,A Taylor,10,11,0
155,Aston Villa,Leicester,1,A,1,2,A,8,5,6,2,261900000,505250000,9700000,19430000,27.0,26.7,1.61,2.3,4.33,3.8,1.8,M Oliver,1,8,0
156,Newcastle,Southampton,2,H,0,0,D,3,12,1,3,293830000,227000000,9180000,9870000,27.3,25.9,2.1,1.72,2.5,3.2,2.9,D Coote,12,15,1
157,Norwich,Sheffield United,1,A,1,0,H,9,1,0,4,152350000,119200000,6350000,4260000,27.6,28.3,1.8,2.0,2.9,3.5,2.37,S Hooper,13,14,2
158,Brighton,Wolves,2,D,2,2,D,3,4,3,0,214750000,330800000,8260000,12720000,27.8,25.4,2.3,1.61,2.62,3.1,2.87,J Moss,3,19,1
159,West Ham,Arsenal,1,A,1,0,H,4,3,2,0,338750000,682750000,14110000,27310000,28.7,25.1,1.44,2.75,3.3,4.0,2.0,M Dean,18,0,2
160,Liverpool,Watford,2,H,1,0,H,6,3,2,1,1190000000,234000000,46660000,7550000,27.9,27.6,1.4,3.0,1.16,7.5,17.0,A Marriner,9,17,2
161,Burnley,Newcastle,1,H,0,0,D,4,3,0,2,192750000,293830000,8030000,9180000,29.1,27.3,2.1,1.72,1.95,3.4,4.0,T Robinson,4,12,1
162,Chelsea,Bournemouth,0,A,0,0,D,9,4,1,2,844250000,343750000,32470000,11460000,26.3,26.0,1.4,3.0,1.25,6.0,12.0,G Scott,5,2,1
163,Leicester,Norwich,1,D,1,1,D,12,4,0,4,505250000,152350000,19430000,6350000,26.7,27.6,1.44,2.75,1.22,6.5,13.0,A Madley,8,13,1
164,Sheffield United,Aston Villa,2,H,0,0,D,3,2,2,2,119200000,261900000,4260000,9700000,28.3,27.0,1.8,2.0,1.85,3.75,4.2,P Bankes,14,1,1
165,Southampton,West Ham,0,A,0,1,A,5,8,1,3,227000000,338750000,9870000,14110000,25.9,28.7,1.61,2.3,1.9,3.8,3.8,M Atkinson,15,18,0
166,Man United,Everton,1,D,0,1,A,6,5,1,2,744250000,480700000,29770000,19230000,25.8,27.3,1.8,2.0,1.8,3.7,4.5,M Oliver,11,7,0
167,Wolves,Tottenham,1,A,0,1,A,11,2,4,4,330800000,977000000,12720000,36190000,25.4,26.4,1.9,1.9,3.25,3.4,2.25,S Attwell,19,16,0
168,Arsenal,Man City,0,A,0,3,A,3,3,1,4,682750000,1300000000,27310000,52190000,25.1,27.4,1.33,3.4,6.0,5.25,1.44,P Tierney,0,10,0
169,Crystal Palace,Brighton,1,D,0,0,D,3,7,1,1,232800000,214750000,9310000,8260000,28.8,27.8,2.2,1.66,2.55,3.25,2.87,C Pawson,6,3,1
170,Everton,Arsenal,0,D,0,0,D,5,4,2,3,480700000,682750000,19230000,27310000,27.3,25.1,1.57,2.37,2.3,3.8,2.87,K Friend,7,0,1
171,Aston Villa,Southampton,1,A,0,2,A,7,5,2,1,261900000,227000000,9700000,9870000,27.0,25.9,1.61,2.3,2.4,3.6,2.8,C Pawson,1,15,0
172,Bournemouth,Burnley,0,A,0,0,D,4,5,2,4,343750000,192750000,11460000,8030000,26.0,29.1,1.9,1.9,2.4,3.4,2.9,M Atkinson,2,4,1
173,Brighton,Sheffield United,0,A,0,1,A,4,3,1,3,214750000,119200000,8260000,4260000,27.8,28.3,2.1,1.72,2.2,3.25,3.5,R Jones,3,14,0
174,Newcastle,Crystal Palace,1,H,0,0,D,4,5,2,0,293830000,232800000,9180000,9310000,27.3,28.8,2.5,1.53,2.37,3.1,3.25,S Hooper,12,6,1
175,Norwich,Wolves,1,A,1,0,H,3,11,2,4,152350000,330800000,6350000,12720000,27.6,25.4,1.8,2.0,3.75,3.8,1.9,P Bankes,13,19,2
